locality,scientificName,scientificNameAuthorship,vernacularName,taxonRank,Introduced or Invasive,Biocontrol,associatedTaxa,Approximate Introduction Date,IntroDateNumber,Other Names,kingdom,phylum,class,order,family,taxonomicStatus,ITIS TSN,GBIF taxonKey,Authority,associatedReferences,Acquisition Date,modified,Update Remarks,occurrenceRemarks,occurrenceID
AK,Achillea filipendulina,Lam.,Fernleaf yarrow,Species,Invasive,,,2005,2005,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Accepted ITIS,35426,3120284,Alaska Exotic Plants Information Clearinghouse (AKEPIC) (2021),https://accs.uaa.alaska.edu/invasive-species/non-native-plant-species-list,2017-09-07,2020-08-27,Updated websiteURL and Authority,,USRIIS-AK-Plantae5768
AK,Achillea ptarmica,L.,Sneezeweed,Species,Invasive,,,1913 (AKEPIC (2021)),1913,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Accepted ITIS,35429,3120333,USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021bb),https://plants.usda.gov/home/plantProfile?symbol=ACPT,2017-11-21,2017-11-21,Updated Authority,,USRIIS-AK-Plantae6108
AK,Acorus calamus,L.,Calamus,Species,Invasive,,,1968,1968,,Plantae,Tracheophyta,Magnoliopsida,Acorales,Acoraceae,Accepted ITIS,564989,2873769,Alaska Exotic Plants Information Clearinghouse (AKEPIC) (2021),https://accs.uaa.alaska.edu/invasive-species/non-native-plant-species-list,2018-02-13,2020-08-27,Updated websiteURL and Authority,,USRIIS-AK-Plantae11636
AK,Acyrthosiphon caraganae,"(Cholodkovsky, 1907)",Caragana aphid,Species,Introduced,,,,,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Accepted GBIF,,2077518,Bowser (2009),https://www.fws.gov/uploadedFiles/Region_7/NWRS/Zone_2/Kenai/Sections/What_We_Do/In_The_Community/Refuge_Notebooks/2009_Articles/Refuge_Notebook_v11_n46.pdf,2019-03-19,2021-10-29,Added scientificNameAuthorship,,USRIIS-AK-Animalia11952
AK,Adelges piceae,"(Ratzeburg, 1844)",Balsam woolly adelgid,Species,Invasive,,,,,,Animalia,Arthropoda,Insecta,Hemiptera,Adelgidae,Accepted GBIF,,2049681,McClory and Gotthardt (2008),https://www.adfg.alaska.gov/static/species/nonnative/invasive/pdfs/invasivespp_report.pdf,2012-01-01,2021-10-29,Added scientificNameAuthorship; Updated websiteURL,,USRIIS-AK-Animalia1
AK,Aegopodium podagraria,L.,Bishop's goutweed,Species,Invasive,,,2006,2006,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Accepted ITIS,29567,3034620,Alaska Exotic Plants Information Clearinghouse (AKEPIC) (2021),https://accs.uaa.alaska.edu/invasive-species/non-native-plant-species-list,2017-09-07,2020-08-27,Updated websiteURL and Authority,,USRIIS-AK-Plantae5769
AK,Agropyron cristatum,(L.) Gaertn.,Crested wheatgrass,Species,Introduced,,,1939 (AKEPIC (2021)),1939,,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Accepted ITIS,40371,2705196,USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021dk),https://plants.usda.gov/home/plantProfile?symbol=AGCR,2017-11-21,2017-11-21,Updated Authority,,USRIIS-AK-Plantae6181
AK,Agropyron cristatum ssp. pectinatum,(M. Bieb.) Tzvelev,Crested wheatgrass,Subspecies,Invasive,,,,,Agropyron cristatum,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Accepted ITIS,182479,,USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021dm),https://plants.usda.gov/home/plantProfile?symbol=AGCRP8,2017-11-21,2017-11-21,Updated Authority,,USRIIS-AK-Plantae6184
AK,Agropyron desertorum,(Fisch. ex Link) Schult.,Desert wheatgrass,Species,Invasive,,,1941,1941,,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Accepted ITIS,40372,2705200,Alaska Exotic Plants Information Clearinghouse (AKEPIC) (2021),https://accs.uaa.alaska.edu/invasive-species/non-native-plant-species-list,2017-09-07,2020-08-27,Updated websiteURL and Authority,,USRIIS-AK-Plantae5770
AK,Agrostemma githago,L.,Common corncockle,Species,Introduced,,,2006 (AKEPIC (2021)),2006,,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Accepted ITIS,20230,3085368,USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021dq),https://plants.usda.gov/home/plantProfile?symbol=AGGI,2017-11-21,2017-11-21,Updated Authority; Updated Introduced or Invasive and added IntroDateNumber,,USRIIS-AK-Plantae6189
